breakpoints,primitives,p_bp,q_bp
10079,movec_fit,"[array([ 1648.52298125, -1210.00413589,  -202.00072394]), array([ 1647.47588941, -1269.99501073,  -201.50210233])]","[array([-0.61967757,  0.98304884,  0.72514924,  0.07687268, -0.93510985,
       -0.19955038]), array([-0.64550929,  1.06378271,  0.85400626,  0.06287663, -0.98136356,
       -0.1648057 ])]"
10439,movec_fit,"[array([ 1648.52298205, -1210.00413636,  -201.00072366]), array([ 1647.47589018, -1269.99501123,  -200.50210205])]","[array([-0.61967757,  0.98288918,  0.72580892,  0.07682631, -0.93592677,
       -0.19947223]), array([-0.64550929,  1.063714  ,  0.8548052 ,  0.06284021, -0.98222948,
       -0.16474015])]"
10799,movec_fit,"[array([ 1648.52298285, -1210.00413682,  -200.00072338]), array([ 1647.47589094, -1269.99501173,  -199.50210177])]","[array([-0.61967757,  0.98273113,  0.7264711 ,  0.07677999, -0.93674457,
       -0.19939409]), array([-0.64550929,  1.06364745,  0.85560757,  0.06280383, -0.98309669,
       -0.16467458])]"
11159,movec_fit,"[array([ 1648.52298365, -1210.00413729,  -199.00072311]), array([ 1647.47589171, -1269.99501224,  -198.50210149])]","[array([-0.61967757,  0.9825747 ,  0.72713579,  0.07673373, -0.93756327,
       -0.19931596]), array([-0.64550929,  1.06358307,  0.8564134 ,  0.06276749, -0.98396519,
       -0.16460899])]"
11519,movec_fit,"[array([ 1648.52298444, -1210.00413776,  -198.00072283]), array([ 1647.47589248, -1269.99501274,  -197.50210121])]","[array([-0.61967757,  0.9824199 ,  0.727803  ,  0.07668753, -0.93838287,
       -0.19923784]), array([-0.64550929,  1.06352085,  0.85722269,  0.06273118, -0.98483498,
       -0.16454338])]"
11879,movec_fit,"[array([ 1648.52298524, -1210.00413823,  -197.00072255]), array([ 1647.47589325, -1269.99501324,  -196.50210094])]","[array([-0.61967757,  0.98226672,  0.72847273,  0.07664138, -0.93920336,
       -0.19915972]), array([-0.64550929,  1.06346082,  0.85803547,  0.06269491, -0.98570607,
       -0.16447774])]"
12239,movec_fit,"[array([ 1648.52298604, -1210.0041387 ,  -196.00072228]), array([ 1647.47589402, -1269.99501374,  -195.50210066])]","[array([-0.61967757,  0.98211517,  0.729145  ,  0.07659529, -0.94002476,
       -0.19908162]), array([-0.64550929,  1.06340298,  0.85885174,  0.06265868, -0.98657847,
       -0.16441209])]"
12599,movec_fit,"[array([ 1648.52298683, -1210.00413916,  -195.000722  ]), array([ 1647.47589479, -1269.99501424,  -194.50210038])]","[array([-0.61967757,  0.98196526,  0.72981981,  0.07654925, -0.94084706,
       -0.19900352]), array([-0.64550929,  1.06334734,  0.85967153,  0.06262248, -0.98745218,
       -0.16434641])]"
12959,movec_fit,"[array([ 1648.52298763, -1210.00413963,  -194.00072172]), array([ 1647.47589556, -1269.99501475,  -193.5021001 ])]","[array([-0.61967757,  0.98181699,  0.73049716,  0.07650328, -0.94167026,
       -0.19892543]), array([-0.64550929,  1.06329391,  0.86049485,  0.06258631, -0.98832721,
       -0.16428071])]"
13319,movec_fit,"[array([ 1648.52298843, -1210.0041401 ,  -193.00072145]), array([ 1647.47589633, -1269.99501525,  -192.50209982])]","[array([-0.61967757,  0.98167037,  0.73117706,  0.07645736, -0.94249437,
       -0.19884735]), array([-0.64550929,  1.0632427 ,  0.86132171,  0.06255018, -0.98920356,
       -0.16421498])]"
